timestamp,sys-0,sys-1,sys-2,sys-3
1522592880029,194,0,667,0
1522592881029,184,0,0,0
1522592882029,0,0,5224,0
1522592883029,0,0,0,0
1522592884029,0,0,0,0
1522592885029,0,0,0,0
1522592886029,0,0,0,0
1522592887029,2335,0,381,0
1522592888029,1001,0,543,0
1522592889029,1001,0,0,0
1522592890029,1000,0,211,7530
1522592891029,1001,0,1201,0
1522592892029,2335,0,0,0
1522592893029,325,0,0,0
1522592894029,100,0,0,0
1522592895029,100,0,0,0
1522592896029,100,0,0,0
1522592897029,185,0,3,0
1522592898029,190,0,3593,0
1522592899029,181,0,0,0
1522592900029,182,0,0,0
1522592901029,182,0,0,0
1522592902029,182,0,0,0
1522592903029,181,0,0,0
1522592904029,182,0,0,0
1522592905029,218,62,205,2631
1522592906029,162,212,1000,0
1522592907029,175,0,667,0
1522592908029,79,0,4110,0
1522592909029,0,0,0,0
1522592910029,0,0,0,0
1522592911029,0,0,0,0
1522592912029,0,0,0,0
1522592913029,0,0,26,0
1522592914029,2335,0,938,0
1522592915029,1001,0,1394,0
1522592916029,1000,0,424,7540
1522592917029,1000,0,372,0
1522592918029,1001,0,1235,0
1522592919029,2335,0,0,0
1522592920029,212,0,0,0
1522592921029,100,0,0,0
1522592922029,100,0,0,0
1522592923029,100,0,0,0
1522592924029,185,0,753,0
1522592925029,190,0,0,0
1522592926029,182,0,0,0
1522592927029,182,0,0,0
1522592928029,182,0,0,0
1522592929029,182,0,0,0
1522592930029,182,0,0,0
1522592931029,191,148,188,2679
1522592932029,199,0,667,0
1522592933029,156,0,0,0
1522592934029,0,0,4719,0
1522592935029,0,0,0,0
1522592936029,0,0,0,0
1522592937029,0,0,0,0
1522592938029,0,0,0,0
1522592939029,2335,0,432,0
1522592940029,1001,0,518,0
1522592941029,1001,0,0,0
1522592942029,1000,0,449,7568
1522592943029,1001,0,1239,0
1522592944029,2335,0,0,0
1522592945029,325,0,0,0
1522592946029,100,0,0,0
1522592947029,100,0,0,0
1522592948029,100,0,0,0
1522592949029,177,0,1,0
1522592950029,190,0,3259,0
1522592951029,182,0,0,0
1522592952029,182,0,0,0
1522592953029,182,0,0,0
1522592954029,181,0,0,0
1522592955029,182,0,0,0
1522592956029,251,67,161,2636
1522592957029,147,196,1000,0
1522592958029,168,0,667,0
1522592959029,76,0,0,0
1522592960029,0,0,10446,0
1522592961029,0,0,0,0
1522592962029,0,0,0,0
1522592963029,0,0,0,0
1522592964029,0,0,2,0
1522592965029,2335,0,693,0
1522592966029,1001,0,1388,0
1522592967029,1001,0,322,7574
1522592968029,1000,0,869,0
1522592969029,1001,0,0,0
1522592970029,2335,0,0,0
1522592971029,550,0,0,0
1522592972029,100,0,0,0
1522592973029,100,0,0,0
1522592974029,100,0,0,0
1522592975029,185,0,755,0
1522592976029,182,0,0,0
1522592977029,181,0,0,0
1522592978029,182,0,0,0
1522592979029,182,0,0,0
1522592980029,182,0,0,0
1522592981029,182,0,0,0
1522592982029,189,146,186,2638
1522592983029,200,0,667,0
1522592984029,165,0,0,0
1522592985029,0,0,5150,0
1522592986029,0,0,0,0
1522592987029,0,0,0,0
1522592988029,0,0,0,0
1522592989029,0,0,0,0
1522592990029,2335,0,396,0
1522592991029,1001,0,540,0
1522592992029,1001,0,0,0
1522592993029,1000,0,433,7357
1522592994029,1001,0,1212,0
1522592995029,2335,0,0,0
1522592996029,250,0,0,0
1522592997029,100,0,0,0
1522592998029,100,0,0,0
1522592999029,100,0,0,0
1522593000029,185,0,1,0
