timestamp,sys-0,sys-1,sys-2,sys-3
1522592880029,1,1,1,0
1522592881029,1,1,1,0
1522592882029,0,0,1,0
1522592883029,0,0,0,0
1522592884029,0,0,0,0
1522592885029,0,0,0,0
1522592886029,0,0,0,0
1522592887029,1,0,1,0
1522592888029,1,0,1,0
1522592889029,1,0,1,0
1522592890029,1,0,1,1
1522592891029,1,0,1,0
1522592892029,1,0,0,0
1522592893029,1,0,1,0
1522592894029,1,0,0,0
1522592895029,1,0,0,0
1522592896029,1,0,0,0
1522592897029,1,0,1,0
1522592898029,1,0,1,0
1522592899029,1,0,0,0
1522592900029,1,0,0,0
1522592901029,1,0,0,0
1522592902029,1,0,0,0
1522592903029,1,0,0,0
1522592904029,1,0,0,0
1522592905029,1,1,1,1
1522592906029,1,1,1,0
1522592907029,1,1,1,0
1522592908029,1,1,1,0
1522592909029,0,0,0,0
1522592910029,0,0,0,0
1522592911029,0,0,0,0
1522592912029,0,0,0,0
1522592913029,0,0,1,0
1522592914029,1,0,1,0
1522592915029,1,0,1,0
1522592916029,1,0,1,1
1522592917029,1,0,1,0
1522592918029,1,0,1,0
1522592919029,1,0,0,0
1522592920029,1,0,1,0
1522592921029,1,0,0,0
1522592922029,1,0,0,0
1522592923029,1,0,0,0
1522592924029,1,0,1,0
1522592925029,1,0,0,0
1522592926029,1,0,0,0
1522592927029,1,0,0,0
1522592928029,1,0,0,0
1522592929029,1,0,0,0
1522592930029,1,0,0,0
1522592931029,1,1,1,1
1522592932029,1,1,1,0
1522592933029,1,1,1,0
1522592934029,0,0,1,0
1522592935029,0,0,0,0
1522592936029,0,0,0,0
1522592937029,0,0,0,0
1522592938029,0,0,0,0
1522592939029,1,0,1,0
1522592940029,1,0,1,0
1522592941029,1,0,1,0
1522592942029,1,0,1,1
1522592943029,1,0,1,0
1522592944029,1,0,0,0
1522592945029,1,0,1,0
1522592946029,1,0,0,0
1522592947029,1,0,0,0
1522592948029,1,0,0,0
1522592949029,1,0,1,0
1522592950029,1,0,1,0
1522592951029,1,0,0,0
1522592952029,1,0,0,0
1522592953029,1,0,0,0
1522592954029,1,0,0,0
1522592955029,1,0,0,0
1522592956029,1,1,1,1
1522592957029,1,1,1,0
1522592958029,1,1,1,0
1522592959029,1,1,1,0
1522592960029,0,0,1,0
1522592961029,0,0,0,0
1522592962029,0,0,0,0
1522592963029,0,0,0,0
1522592964029,0,0,1,0
1522592965029,1,0,1,0
1522592966029,1,0,1,0
1522592967029,1,0,1,1
1522592968029,1,0,1,0
1522592969029,1,0,0,0
1522592970029,1,0,0,0
1522592971029,1,0,1,0
1522592972029,1,0,0,0
1522592973029,1,0,0,0
1522592974029,1,0,0,0
1522592975029,1,0,1,0
1522592976029,1,0,0,0
1522592977029,1,0,0,0
1522592978029,1,0,0,0
1522592979029,1,0,0,0
1522592980029,1,0,0,0
1522592981029,1,0,0,0
1522592982029,1,1,1,1
1522592983029,1,1,1,0
1522592984029,1,1,1,0
1522592985029,0,0,1,0
1522592986029,0,0,0,0
1522592987029,0,0,0,0
1522592988029,0,0,0,0
1522592989029,0,0,0,0
1522592990029,1,0,1,0
1522592991029,1,0,1,0
1522592992029,1,0,1,0
1522592993029,1,0,1,1
1522592994029,1,0,1,0
1522592995029,1,0,0,0
1522592996029,1,0,1,0
1522592997029,1,0,0,0
1522592998029,1,0,0,0
1522592999029,1,0,0,0
1522593000029,1,0,1,0
